Zip,Latitude,Longitude
94131,37.741797,-122.4378
94249,38.377411,-121.444429
96062,40.577799,-122.10148
93110,34.439579,-119.76788
95005,37.084347,-122.08524
95337,37.782332,-121.23578
91077,33.786594,-118.298662
92840,33.785166,-117.93406
92583,33.788491,-116.95125
91115,33.786594,-118.298662
94089,37.406289,-122.00838
95134,37.412539,-121.94461
92320,33.984551,-117.03767
92410,34.106965,-117.2975
95373,37.986377,-120.241412
90842,33.786594,-118.298662
92158,33.016928,-116.846046
93207,35.87137,-118.6821
96094,41.460403,-122.38544
93772,36.746375,-119.639658
95064,37.000199,-122.06026
90220,33.890566,-118.23666
95358,37.622898,-121.05181
92553,33.923243,-117.24211
91302,34.133513,-118.66464
92220,33.920803,-116.87897
95637,38.830508,-122.19944
95977,39.19322,-121.28975
96121,40.169038,-120.37815
90065,34.107559,-118.22663
93303,35.294405,-118.905173
93915,36.35433,-121.132928
93925,36.581329,-121.46597
90502,33.833416,-118.29198
92022,33.016928,-116.846046
95318,37.673629,-119.81305
90847,33.786594,-118.298662
92501,33.991181,-117.37074
92539,33.55055,-116.67362
92880,33.903803,-117.60221
92024,33.053092,-117.26855
93035,34.179304,-119.22189
94406,37.381144,-122.334825
94589,38.152068,-122.25074
95240,38.12463,-121.25039
92519,33.752886,-116.055617
93714,36.746375,-119.639658
92610,33.685479,-117.6669
90069,34.090975,-118.3813
95445,38.813417,-123.55762
95482,39.154946,-123.20088
95680,38.232898,-121.568427
90311,33.786594,-118.298662
92346,34.12716,-117.20073
94114,37.758434,-122.43512
95425,38.795668,-122.997
92856,33.640302,-117.769442
95139,37.226194,-121.76514
90095,33.786594,-118.298662
93596,35.294405,-118.905173
94118,37.782029,-122.46158
95365,37.297403,-120.32285
96109,40.030098,-120.11304
90612,33.786594,-118.298662
95255,38.421689,-120.46947
94103,37.772329,-122.41087
95798,38.619545,-121.961532
90630,33.817481,-118.0399
95137,37.189396,-121.705327
90401,34.01491,-118.4922
92657,33.610717,-117.8325
89439,39.523693,-120.03012
90290,34.101447,-118.59933
92684,33.640302,-117.769442
94607,37.806427,-122.28898
95361,37.776528,-120.84756
92615,33.640302,-117.769442
92403,34.839964,-115.967051
90671,33.786594,-118.298662
91305,33.786594,-118.298662
92118,32.682727,-117.17441
93665,36.961248,-120.65439
94991,37.970726,-122.524012
95316,37.552329,-120.78463
95548,41.51823,-124.03075
95927,39.805255,-121.684124
95971,39.957324,-120.98366
93940,36.586193,-121.88667
92284,34.161795,-116.41246
96141,39.093271,-120.16325
97635,41.924974,-120.28989
91313,33.786594,-118.298662
92235,33.752886,-116.055617
91501,34.186755,-118.30153
91978,32.732539,-116.95091
92334,34.839964,-115.967051
92155,32.671602,-117.165665
94162,37.784827,-122.727802
90803,33.761117,-118.12986
94509,37.991571,-121.80207
93501,35.04535,-118.16141
95436,38.495857,-122.90636
95742,38.607756,-121.18367
92261,33.660374,-116.408249
92376,34.109511,-117.37617
94602,37.799727,-122.21211
95437,39.43695,-123.76087
95521,40.867469,-124.07519
95834,38.642805,-121.50466
94579,37.68858,-122.15421
95041,37.050798,-122.0569
95354,37.644481,-120.98043
95633,38.839773,-120.82881
96074,39.878018,-122.57972
93421,35.347065,-120.455345
95132,37.405989,-121.84775
91320,34.175038,-118.93956
92532,33.696543,-117.3247
92705,33.762117,-117.81828
93150,34.262834,-119.848555
95458,39.090421,-122.78972
95972,39.441356,-121.31354
93312,35.39068,-119.18583
93666,36.545749,-119.33907
94708,37.894625,-122.26372
95860,38.377411,-121.444429
93626,37.024461,-119.68496
94601,37.776835,-122.21792
90277,33.828815,-118.38322
91361,34.14348,-118.85608
91776,34.089059,-118.0951
95720,38.771209,-120.26765
95818,38.556576,-121.49285
91785,34.839964,-115.967051
92018,33.016928,-116.846046
94257,38.377411,-121.444429
95554,40.2959,-123.77902
96028,41.056097,-121.49021
90048,34.073759,-118.37376
92408,34.080662,-117.27357
94563,37.878625,-122.18296
95017,37.085986,-122.22638
95250,38.256839,-120.38102
95290,37.953473,-121.285257
94957,38.022322,-122.561689
95334,37.38025,-120.72614
95988,39.499754,-122.20773
92129,32.961014,-117.1251
92414,34.839964,-115.967051
90264,33.786594,-118.298662
91304,34.218654,-118.62538
96064,41.736424,-122.40008
91791,34.063645,-117.89743
93286,36.431121,-119.10642
94139,37.784827,-122.727802
95681,38.997612,-121.37967
96038,41.604392,-122.52666
96156,38.935245,-119.967631
90047,33.958464,-118.30998
91745,34.000578,-117.96943
93252,35.040362,-119.41514
95568,41.455226,-123.47671
92358,34.229288,-117.52082
92531,33.752886,-116.055617
90023,34.023039,-118.20231
92706,33.765916,-117.88139
93613,37.036529,-119.511704
93652,36.600348,-119.90272
90021,34.029313,-118.24182
93435,35.508282,-121.03551
93745,36.746375,-119.639658
90174,33.786594,-118.298662
90307,33.786594,-118.298662
91187,33.786594,-118.298662
91748,33.985012,-117.89705
92352,34.25629,-117.19132
93283,35.614134,-118.27824
94116,37.743381,-122.48578
95587,39.96266,-123.74471
95743,38.377411,-121.444429
91341,33.786594,-118.298662
90012,34.061611,-118.23944
90251,33.786594,-118.298662
90637,33.786594,-118.298662
93603,36.678073,-118.9601
95024,36.85443,-121.411909
91322,33.786594,-118.298662
92515,33.752886,-116.055617
95204,37.974273,-121.3147
95828,38.484747,-121.4024
93647,36.565252,-119.24273
94933,38.012489,-122.68886
90015,34.038993,-118.26516
93275,36.26699,-118.776902
94643,37.680181,-121.921498
94949,38.06317,-122.54111
